[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/terminals?_=1534919661273 (xiongqiao@10.240.0.127) 0.73ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents?type=directory&_=1534919661274 (xiongqiao@10.240.0.127) 3.71ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/nbgrader_version?version=0.6.0.dev&_=1534919661275 (xiongqiao@10.240.0.127) 0.73ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents?type=directory&_=1534919661276 (xiongqiao@10.240.0.127) 3.76ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents?type=directory&_=1534919661277 (xiongqiao@10.240.0.127) 3.30ms
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Released assignments:
[SingleUserNotebookApp | INFO] data100 disc00
[SingleUserNotebookApp | INFO] data100 hw0
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Submitted assignments:
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/courses?_=1534919661278 (xiongqiao@10.240.0.127) 108.22ms
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Released assignments:
[SingleUserNotebookApp | INFO] data100 disc00
[SingleUserNotebookApp | INFO] data100 hw0
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Submitted assignments:
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/assignments?course_id=data100&_=1534919661279 (xiongqiao@10.240.0.127) 6.84ms
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Source: /srv/nbgrader/exchange/data100/outbound/hw0
[SingleUserNotebookApp | INFO] Destination: /home/jovyan/hw0
[SingleUserNotebookApp | INFO] Fetched as: data100 hw0
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Released assignments:
[SingleUserNotebookApp | INFO] data100 disc00
[SingleUserNotebookApp | INFO] data100 hw0 (already downloaded)
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Submitted assignments:
[SingleUserNotebookApp | INFO] 200 POST /user/xiongqiao/assignments/fetch (xiongqiao@10.240.0.127) 252.16ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/sessions?_=1534919661280 (xiongqiao@10.240.0.127) 1.77ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/terminals?_=1534919661281 (xiongqiao@10.240.0.127) 1.15ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents?type=directory&_=1534919661282 (xiongqiao@10.240.0.127) 3.97ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/tree (xiongqiao@10.240.0.127) 3.70ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/config/tree?_=1534919696388 (xiongqiao@10.240.0.127) 4.05ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/config/common?_=1534919696389 (xiongqiao@10.240.0.127) 3.78ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/terminals?_=1534919696390 (xiongqiao@10.240.0.127) 1.26ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/sessions?_=1534919696391 (xiongqiao@10.240.0.127) 1.43ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/terminals?_=1534919696392 (xiongqiao@10.240.0.127) 1.06ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents?type=directory&_=1534919696393 (xiongqiao@10.240.0.127) 3.46ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/nbgrader_version?version=0.6.0.dev&_=1534919696394 (xiongqiao@10.240.0.127) 0.83ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/hw0?type=directory&_=1534919696395 (xiongqiao@10.240.0.127) 13.47ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/notebooks/hw0/hw0.ipynb (xiongqiao@10.240.0.127) 329.07ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/config/notebook?_=1534919711244 (xiongqiao@10.240.0.127) 4.49ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/config/common?_=1534919711245 (xiongqiao@10.240.0.127) 3.59ms
[SingleUserNotebookApp | INFO] Writing notebook-signing key to /home/jovyan/.local/share/jupyter/notebook_secret
[SingleUserNotebookApp | WARNING] Notebook hw0/hw0.ipynb is not trusted
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/hw0/hw0.ipynb?type=notebook&_=1534919711246 (xiongqiao@10.240.0.127) 139.87ms
[SingleUserNotebookApp | INFO] Kernel started: 21f89576-1362-40d0-8073-a57d75a5fd4d
[SingleUserNotebookApp | INFO] 201 POST /user/xiongqiao/api/sessions (xiongqiao@10.240.0.127) 52.41ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/hw0/hw0.ipynb/checkpoints?_=1534919711247 (xiongqiao@10.240.0.127) 7.93ms
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/notebooks/hw0/launch.png → /user/xiongqiao/files/hw0/launch.png (xiongqiao@10.240.0.127) 2.27ms
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/notebooks/hw0/code.png → /user/xiongqiao/files/hw0/code.png (xiongqiao@10.240.0.127) 2.22ms
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/notebooks/hw0/write.png → /user/xiongqiao/files/hw0/write.png (xiongqiao@10.240.0.127) 2.34ms
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/notebooks/hw0/derivative.png → /user/xiongqiao/files/hw0/derivative.png (xiongqiao@10.240.0.127) 2.33ms
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/notebooks/hw0/class_A.png → /user/xiongqiao/files/hw0/class_A.png (xiongqiao@10.240.0.127) 2.17ms
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/notebooks/hw0/class_B.png → /user/xiongqiao/files/hw0/class_B.png (xiongqiao@10.240.0.127) 2.09ms
[SingleUserNotebookApp | WARNING] 404 GET /user/xiongqiao/nbextensions/widgets/notebook/js/extension.js?v=20180822063415 (xiongqiao@10.240.0.127) 7.98ms
[SingleUserNotebookApp | INFO] Adapting to protocol v5.1 for kernel 21f89576-1362-40d0-8073-a57d75a5fd4d
[SingleUserNotebookApp | INFO] 101 GET /user/xiongqiao/api/kernels/21f89576-1362-40d0-8073-a57d75a5fd4d/channels?session_id=3324b7d4b5ef432a91d570b063a8a70f (xiongqiao@10.240.0.96) 264.19ms
[SingleUserNotebookApp | WARNING] 404 GET /user/xiongqiao/static/components/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_AMS-Regular.otf (xiongqiao@10.240.0.127) 2.12ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/hw0/hw0.ipynb?content=0&_=1534919711248 (xiongqiao@10.240.0.127) 2.95ms
[SingleUserNotebookApp | INFO] Saving file at /hw0/hw0.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/hw0/hw0.ipynb (xiongqiao@10.240.0.127) 155.26ms
[SingleUserNotebookApp | INFO] Starting buffering for 21f89576-1362-40d0-8073-a57d75a5fd4d:3324b7d4b5ef432a91d570b063a8a70f
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/sessions?_=1534919696396 (xiongqiao@10.240.0.96) 33.05ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/terminals?_=1534919696397 (xiongqiao@10.240.0.96) 1.00ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/hw0?type=directory&_=1534919696398 (xiongqiao@10.240.0.96) 3.96ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/sessions?_=1534919696399 (xiongqiao@10.240.0.96) 1.81ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/terminals?_=1534919696400 (xiongqiao@10.240.0.96) 1.12ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/hw0?type=directory&_=1534919696401 (xiongqiao@10.240.0.96) 12.12ms
[SingleUserNotebookApp | CRITICAL] received signal 15, stopping
[SingleUserNotebookApp | INFO] Shutting down 1 kernel
[SingleUserNotebookApp | INFO] Kernel shutdown: 21f89576-1362-40d0-8073-a57d75a5fd4d
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[SingleUserNotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[SingleUserNotebookApp | INFO] Starting jupyterhub-singleuser server version 0.8.1
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/ → /user/xiongqiao/tree? (@10.240.1.84) 0.79ms
[SingleUserNotebookApp | INFO] Serving notebooks from local directory: /home/jovyan
[SingleUserNotebookApp | INFO] The Jupyter Notebook is running at:
[SingleUserNotebookApp | INFO] http://(jupyter-xiongqiao or 127.0.0.1):8888/user/xiongqiao/
[SingleUserNotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/?redirects=1 → /user/xiongqiao/tree?redirects=1 (@10.240.1.57) 0.47ms
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/tree?redirects=1 → /hub/api/oauth2/authorize?client_id=user-xiongqiao&redirect_uri=%2Fuser%2Fxiongqiao%2Foauth_callback&response_type=code&state=eyJ1dWlkIjogIjg1NjAyYmJkMzFkMDQ0NmE4MTViZThhOTVkMTg5MzljIiwgIm5leHRfdXJsIjogIi91c2VyL3hpb25ncWlhby90cmVlP3JlZGlyZWN0cz0xIn0 (@10.240.1.57) 1.65ms
[SingleUserNotebookApp | INFO] Logged-in user {'kind': 'user', 'name': 'xiongqiao', 'admin': False, 'groups': [], 'server': '/user/xiongqiao/', 'pending': None, 'last_activity': '2018-08-22T22:24:11.479682'}
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/oauth_callback?code=3bef8ed4-46a6-4085-9fb8-c18c9fe1f87e&state=eyJ1dWlkIjogIjg1NjAyYmJkMzFkMDQ0NmE4MTViZThhOTVkMTg5MzljIiwgIm5leHRfdXJsIjogIi91c2VyL3hpb25ncWlhby90cmVlP3JlZGlyZWN0cz0xIn0 → /user/xiongqiao/tree?redirects=1 (@10.240.1.57) 747.94ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/tree?redirects=1 (xiongqiao@10.240.1.57) 65.01ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/config/tree?_=1534976654039 (xiongqiao@10.240.1.57) 3.47ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/config/common?_=1534976654040 (xiongqiao@10.240.1.57) 2.61ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/terminals?_=1534976654041 (xiongqiao@10.240.1.57) 0.78ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/sessions?_=1534976654042 (xiongqiao@10.240.1.57) 1.33ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/terminals?_=1534976654043 (xiongqiao@10.240.1.57) 0.73ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents?type=directory&_=1534976654044 (xiongqiao@10.240.1.57) 4.62ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/nbgrader_version?version=0.6.0.dev&_=1534976654045 (xiongqiao@10.240.1.57) 0.82ms
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Released assignments:
[SingleUserNotebookApp | INFO] data100 disc00
[SingleUserNotebookApp | INFO] data100 hw0 (already downloaded)
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Submitted assignments:
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/courses?_=1534976654046 (xiongqiao@10.240.1.57) 106.35ms
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Released assignments:
[SingleUserNotebookApp | INFO] data100 disc00
[SingleUserNotebookApp | INFO] data100 hw0 (already downloaded)
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Submitted assignments:
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/assignments?course_id=data100&_=1534976654047 (xiongqiao@10.240.1.57) 6.08ms
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Source: /srv/nbgrader/exchange/data100/outbound/disc00
[SingleUserNotebookApp | INFO] Destination: /home/jovyan/disc00
[SingleUserNotebookApp | INFO] Fetched as: data100 disc00
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Released assignments:
[SingleUserNotebookApp | INFO] data100 disc00 (already downloaded)
[SingleUserNotebookApp | INFO] data100 hw0 (already downloaded)
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Submitted assignments:
[SingleUserNotebookApp | INFO] 200 POST /user/xiongqiao/assignments/fetch (xiongqiao@10.240.1.57) 43.44ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/config/tree?_=1534976663122 (xiongqiao@10.240.1.57) 2.83ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/config/common?_=1534976663123 (xiongqiao@10.240.1.57) 2.41ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/terminals?_=1534976663124 (xiongqiao@10.240.1.57) 0.94ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/sessions?_=1534976663125 (xiongqiao@10.240.1.57) 0.98ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/terminals?_=1534976663126 (xiongqiao@10.240.1.57) 0.83ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents?type=directory&_=1534976663127 (xiongqiao@10.240.1.57) 3.73ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/nbgrader_version?version=0.6.0.dev&_=1534976663128 (xiongqiao@10.240.1.57) 0.86ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00?type=directory&_=1534976663129 (xiongqiao@10.240.1.57) 3.14ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/notebooks/disc00/disc00.ipynb (xiongqiao@10.240.1.57) 320.62ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/config/notebook?_=1534976666551 (xiongqiao@10.240.1.57) 2.74ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/config/common?_=1534976666552 (xiongqiao@10.240.1.57) 2.36ms
[SingleUserNotebookApp | WARNING] Notebook disc00/disc00.ipynb is not trusted
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?type=notebook&_=1534976666553 (xiongqiao@10.240.1.57) 46.03ms
[SingleUserNotebookApp | INFO] Kernel started: 9bc8f13b-b56e-42cb-a8bd-741f413b8601
[SingleUserNotebookApp | INFO] 201 POST /user/xiongqiao/api/sessions (xiongqiao@10.240.1.57) 44.37ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb/checkpoints?_=1534976666554 (xiongqiao@10.240.1.57) 8.14ms
[SingleUserNotebookApp | WARNING] 404 GET /user/xiongqiao/nbextensions/widgets/notebook/js/extension.js?v=20180822222411 (xiongqiao@10.240.1.57) 14.79ms
[SingleUserNotebookApp | INFO] Adapting to protocol v5.1 for kernel 9bc8f13b-b56e-42cb-a8bd-741f413b8601
[SingleUserNotebookApp | INFO] 101 GET /user/xiongqiao/api/kernels/9bc8f13b-b56e-42cb-a8bd-741f413b8601/channels?session_id=6e098ca425a1432688520cdee5fe82e0 (xiongqiao@10.240.0.158) 550.36ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666555 (xiongqiao@10.240.1.57) 2.73ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.1.57) 92.49ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666556 (xiongqiao@10.240.1.57) 2.42ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.1.57) 82.87ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666557 (xiongqiao@10.240.1.57) 26.28ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.1.57) 81.93ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666558 (xiongqiao@10.240.1.57) 2.62ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.1.57) 80.12ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666559 (xiongqiao@10.240.1.181) 30.89ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.1.181) 85.03ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666560 (xiongqiao@10.240.1.181) 2.94ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.1.181) 97.18ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666561 (xiongqiao@10.240.0.158) 292.40ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.158) 82.56ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666562 (xiongqiao@10.240.0.65) 17.76ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.65) 87.47ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666563 (xiongqiao@10.240.0.65) 3.09ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.65) 108.13ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666564 (xiongqiao@10.240.0.65) 2.30ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.65) 89.60ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666565 (xiongqiao@10.240.0.65) 19.93ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.65) 89.16ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666566 (xiongqiao@10.240.0.158) 2.86ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.158) 81.94ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666567 (xiongqiao@10.240.0.158) 15.04ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.158) 85.70ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666568 (xiongqiao@10.240.0.158) 3.00ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.158) 85.20ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666569 (xiongqiao@10.240.0.158) 2.31ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.158) 86.11ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666570 (xiongqiao@10.240.0.158) 322.06ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.158) 88.07ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666571 (xiongqiao@10.240.0.158) 2.32ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.158) 83.23ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666572 (xiongqiao@10.240.0.158) 2.22ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.158) 129.58ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666573 (xiongqiao@10.240.0.158) 20.01ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.158) 89.41ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666574 (xiongqiao@10.240.0.158) 2.25ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/xiongqiao/api/contents/disc00/disc00.ipynb (xiongqiao@10.240.0.158) 80.53ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/contents/disc00/disc00.ipynb?content=0&_=1534976666575 (xiongqiao@10.240.0.158) 2.42ms
[SingleUserNotebookApp | INFO] Saving file at /disc00/disc00.ipynb
